央视频道,#genre#
河南IPTV导视,http://222.85.70.9/PLTV/88888888/224/3221227087/index.m3u8
河南卫视4K,http://222.85.70.9/PLTV/88888888/224/3221226954/index.m3u8
河南都市频道,http://222.85.70.9/PLTV/88888888/224/3221226974/index.m3u8
河南民生频道,http://222.85.70.9/PLTV/88888888/224/3221226994/index.m3u8
河南法治频道,http://222.85.70.9/PLTV/88888888/224/3221226991/index.m3u8
河南电视剧频道,http://222.85.70.9/PLTV/88888888/224/3221226971/index.m3u8
河南新闻频道,http://222.85.70.9/PLTV/88888888/224/3221226997/index.m3u8
河南公共频道,http://222.85.70.9/PLTV/88888888/224/3221226989/index.m3u8
河南乡村频道,http://222.85.70.9/PLTV/88888888/224/3221226986/index.m3u8
河南戏曲频道,http://222.85.70.9/PLTV/88888888/224/3221226996/index.m3u8
河南移动电视,http://222.85.70.9/PLTV/88888888/224/3221227216/index.m3u8
移动戏曲,http://222.85.70.9/PLTV/88888888/224/3221226990/index.m3u8
河南收藏天下,http://222.85.70.9/PLTV/88888888/224/3221226999/index.m3u8
河南调解剧场,http://222.85.70.9/PLTV/88888888/224/3221226998/index.m3u8
河南中华功夫,http://222.85.70.9/PLTV/88888888/224/3221227003/index.m3u8
睛彩中原,http://222.85.70.9/PLTV/88888888/224/3221226993/index.m3u8
河南棋牌汇,http://222.85.70.9/PLTV/88888888/224/3221227015/index.m3u8
河南美食汇,http://222.85.70.9/PLTV/88888888/224/3221227018/index.m3u8
河南IPTV导视,http://222.85.70.9/PLTV/88888888/224/3221227108/index.m3u8

地方频道,#genre#
郑州新闻综合,http://222.85.70.9/PLTV/88888888/224/3221227035/index.m3u8
郑州商都频道,http://222.85.70.9/PLTV/88888888/224/3221227028/index.m3u8
郑州文体旅游,http://222.85.70.9/PLTV/88888888/224/3221227032/index.m3u8
郑州影视戏曲,http://222.85.70.9/PLTV/88888888/224/3221227066/index.m3u8
郑州妇女儿童,http://222.85.70.9/PLTV/88888888/224/3221227063/index.m3u8
郑州都市生活,http://222.85.70.9/PLTV/88888888/224/3221227060/index.m3u8
新密综合,http://222.85.70.9/PLTV/88888888/224/3221227058/index.m3u8
新郑综合,http://222.85.70.9/PLTV/88888888/224/3221227096/index.m3u8
开封新闻综合,http://222.85.70.9/PLTV/88888888/224/3221226968/index.m3u8
开封文化旅游,http://222.85.70.9/PLTV/88888888/224/3221226981/index.m3u8
南阳新闻综合,http://222.85.70.9/PLTV/88888888/224/3221226963/index.m3u8
南阳公共,http://222.85.70.9/PLTV/88888888/224/3221226966/index.m3u8
南阳科教,http://222.85.70.9/PLTV/88888888/224/3221226970/index.m3u8
信阳新闻综合,http://222.85.70.9/PLTV/88888888/224/3221226967/index.m3u8
信阳文旅频道,http://222.85.70.9/PLTV/88888888/224/3221226964/index.m3u8
巩义综合,http://222.85.70.9/PLTV/88888888/224/3221227190/index.m3u8
周口新闻综合,http://222.85.70.9/PLTV/88888888/224/3221226959/index.m3u8
杞县新闻综合,http://222.85.70.9/PLTV/88888888/224/3221227221/index.m3u8
镇平新闻综合,http://222.85.70.9/PLTV/88888888/224/3221227147/index.m3u8
邓州综合,http://222.85.70.9/PLTV/88888888/224/3221226944/index.m3u8
太康综合,http://222.85.70.9/PLTV/88888888/224/3221227242/index.m3u8
祥符,http://222.85.70.9/PLTV/88888888/224/3221227235/index.m3u8
禹州,http://222.85.70.9/PLTV/88888888/224/3221227073/index.m3u8
襄城,http://222.85.69.145:80/PLTV/88888888/224/3221227259/index.m3u8

其他频道,#genre#

